IDProduct,IDProductSubcategory,ProductSKU,ProductName,ModelName,ProductDescription,ProductColor,ProductSize,ProductStyle,ProductCost,ProductPrice
1,1,VELO-W0,Velocity Pro - White,Velocity Pro,Lightweight running shoe with responsive cushioning.,White,0,U,71.27,130.35
2,1,VELO-T0,Velocity Pro - Teal,Velocity Pro,Lightweight running shoe with responsive cushioning.,Teal,0,U,75.78,130.28
3,1,VELO-G0,Velocity Pro - Green,Velocity Pro,Lightweight running shoe with responsive cushioning.,Green,0,W,64.99,126.63
4,1,VELO-G0-1,Velocity Pro - Grey,Velocity Pro,Lightweight running shoe with responsive cushioning.,Grey,0,M,65.68,126.33
5,1,CLOU-G0,CloudRun Elite - Grey,CloudRun Elite,Premium cloud-cushioned running shoe for long distances.,Grey,0,U,88.06,172.16
6,1,CLOU-G0-1,CloudRun Elite - Green,CloudRun Elite,Premium cloud-cushioned running shoe for long distances.,Green,0,U,98.83,165.39
7,1,CLOU-P0,CloudRun Elite - Purple,CloudRun Elite,Premium cloud-cushioned running shoe for long distances.,Purple,0,U,89.59,178.29
8,1,SPEE-O0,SpeedStrike - Orange,SpeedStrike,Competition racing flat for speed workouts.,Orange,0,W,57.83,111
9,1,SPEE-B0,SpeedStrike - Black,SpeedStrike,Competition racing flat for speed workouts.,Black,0,U,55.26,106.21
10,1,SPEE-Y0,SpeedStrike - Yellow,SpeedStrike,Competition racing flat for speed workouts.,Yellow,0,W,60.68,112.74
11,1,EASY-O0,EasyPace - Orange,EasyPace,Daily trainer with extra support and durability.,Orange,0,M,46.96,87.55
12,1,EASY-W0,EasyPace - White,EasyPace,Daily trainer with extra support and durability.,White,0,W,50.01,89.89
13,1,EASY-B0,EasyPace - Black,EasyPace,Daily trainer with extra support and durability.,Black,0,W,47.43,93.15
14,2,TRAI-B0,TrailMaster GTX - Blue,TrailMaster GTX,Waterproof Gore-Tex hiking boot for all terrain.,Blue,0,U,84,159.66
15,2,TRAI-W0,TrailMaster GTX - White,TrailMaster GTX,Waterproof Gore-Tex hiking boot for all terrain.,White,0,W,82.98,152.67
16,2,TRAI-O0,TrailMaster GTX - Orange,TrailMaster GTX,Waterproof Gore-Tex hiking boot for all terrain.,Orange,0,M,88.89,161.67
17,2,SUMM-B0,Summit Peak - Black,Summit Peak,High-ankle boot for mountain trekking.,Black,0,W,115.22,194.7
18,2,SUMM-N0,Summit Peak - Navy,Summit Peak,High-ankle boot for mountain trekking.,Navy,0,W,94.63,182.66
19,2,PATH-W0,PathFinder Lite - White,PathFinder Lite,Lightweight hiking shoe for day hikes.,White,0,U,51.61,97.75
20,2,PATH-R0,PathFinder Lite - Red,PathFinder Lite,Lightweight hiking shoe for day hikes.,Red,0,M,54.24,102.24
21,2,PATH-P0,PathFinder Lite - Pink,PathFinder Lite,Lightweight hiking shoe for day hikes.,Pink,0,W,57.58,99.68
22,3,STRI-T0,StrikerX FG - Teal,StrikerX FG,Firm ground football boot with textured upper.,Teal,0,M,46.45,86.18
23,3,STRI-O0,StrikerX FG - Orange,StrikerX FG,Firm ground football boot with textured upper.,Orange,0,M,48.37,86.86
24,3,STRI-B0,StrikerX FG - Black,StrikerX FG,Firm ground football boot with textured upper.,Black,0,U,49.07,84.28
25,3,PHAN-W0,Phantom Touch - White,Phantom Touch,Soft-touch football boot for control players.,White,0,M,71.24,124.28
26,3,PHAN-B0,Phantom Touch - Black,Phantom Touch,Soft-touch football boot for control players.,Black,0,M,67.44,123.64
27,3,PHAN-N0,Phantom Touch - Navy,Phantom Touch,Soft-touch football boot for control players.,Navy,0,W,67.75,125.52
28,3,BLIT-Y0,Blitz Speed AG - Yellow,Blitz Speed AG,Artificial grass boot with speed frame.,Yellow,0,U,44.16,76.19
29,3,BLIT-B0,Blitz Speed AG - Blue,Blitz Speed AG,Artificial grass boot with speed frame.,Blue,0,M,38.27,71.3
30,4,FLEX-R0,FlexTrain 360 - Red,FlexTrain 360,Versatile gym training shoe with flat sole.,Red,0,U,38.9,69.77
31,4,FLEX-T0,FlexTrain 360 - Teal,FlexTrain 360,Versatile gym training shoe with flat sole.,Teal,0,M,37.94,67.97
32,4,FLEX-O0,FlexTrain 360 - Orange,FlexTrain 360,Versatile gym training shoe with flat sole.,Orange,0,M,35.68,66.55
33,4,POWE-O0,PowerLift Pro - Orange,PowerLift Pro,Weightlifting shoe with raised heel.,Orange,0,W,61.72,102.94
34,4,POWE-Y0,PowerLift Pro - Yellow,PowerLift Pro,Weightlifting shoe with raised heel.,Yellow,0,W,61.79,104.83
35,4,CROS-P0,CrossFit Fury - Purple,CrossFit Fury,Cross-training shoe for HIIT and functional fitness.,Purple,0,W,49.3,86.07
36,4,CROS-O0,CrossFit Fury - Orange,CrossFit Fury,Cross-training shoe for HIIT and functional fitness.,Orange,0,U,51.78,89.57
37,4,CROS-Y0,CrossFit Fury - Yellow,CrossFit Fury,Cross-training shoe for HIIT and functional fitness.,Yellow,0,W,46.68,86.91
38,5,MUDG-Y0,MudGrip XT - Yellow,MudGrip XT,Aggressive trail shoe for muddy conditions.,Yellow,0,U,68.52,118.19
39,5,MUDG-R0,MudGrip XT - Red,MudGrip XT,Aggressive trail shoe for muddy conditions.,Red,0,W,60.08,118.39
40,5,MUDG-P0,MudGrip XT - Pink,MudGrip XT,Aggressive trail shoe for muddy conditions.,Pink,0,U,56.27,111.02
41,5,ROCK-R0,RockRunner - Red,RockRunner,Technical trail shoe with rock plate protection.,Red,0,U,65.06,127.46
42,5,ROCK-P0,RockRunner - Purple,RockRunner,Technical trail shoe with rock plate protection.,Purple,0,W,69.52,125.89
43,6,RECO-B0,RecoverSlide - Blue,RecoverSlide,Post-workout recovery slide sandal.,Blue,0,W,16.05,29.23
44,6,RECO-Y0,RecoverSlide - Yellow,RecoverSlide,Post-workout recovery slide sandal.,Yellow,0,M,17,29.22
45,6,RECO-B0-1,RecoverSlide - Black,RecoverSlide,Post-workout recovery slide sandal.,Black,0,M,17.13,30.29
46,6,AQUA-G0,AquaGrip - Grey,AquaGrip,Water-friendly sport sandal with drainage.,Grey,0,M,21.64,41.66
47,6,AQUA-N0,AquaGrip - Navy,AquaGrip,Water-friendly sport sandal with drainage.,Navy,0,W,21.17,38.17
48,7,DRYF-OL,DryFit Essential - Orange - L,DryFit Essential,Moisture-wicking performance t-shirt.,Orange,L,U,13.85,25.68
49,7,DRYF-BS,DryFit Essential - Black - S,DryFit Essential,Moisture-wicking performance t-shirt.,Black,S,U,12.54,24.6
50,7,DRYF-NM,DryFit Essential - Navy - M,DryFit Essential,Moisture-wicking performance t-shirt.,Navy,M,M,11.38,24.35
